Name                                                           Stmts   Miss  Cover
----------------------------------------------------------------------------------
config/__init__.py                                                 0      0   100%
config/asgi.py                                                     4      4     0%
config/settings.py                                                28      0   100%
config/urls.py                                                     6      0   100%
config/wsgi.py                                                     4      4     0%
lms/__init__.py                                                    0      0   100%
lms/admin.py                                                      17      0   100%
lms/apps.py                                                        4      0   100%
lms/migrations/0001_initial.py                                     6      0   100%
lms/migrations/0002_course_owner_lesson_owner.py                   6      0   100%
lms/migrations/0003_alter_course_owner_alter_lesson_owner.py       6      0   100%
lms/migrations/0004_subscription.py                                6      0   100%
lms/migrations/__init__.py                                         0      0   100%
lms/models.py                                                     34      3    91%
lms/paginators.py                                                  9      0   100%
lms/serializers.py                                                27      1    96%
lms/tests.py                                                      86      0   100%
lms/urls.py                                                        8      0   100%
lms/validators.py                                                  6      1    83%
lms/views.py                                                      70      6    91%
manage.py                                                         11      2    82%
users/__init__.py                                                  0      0   100%
users/admin.py                                                    12      0   100%
users/apps.py                                                      4      0   100%
users/management/__init__.py                                       0      0   100%
users/management/commands/__init__.py                              0      0   100%
users/management/commands/add_moderator_group.py                  12     12     0%
users/management/commands/csu.py                                  13     13     0%
users/migrations/0001_initial.py                                   7      0   100%
users/migrations/0002_payments.py                                  6      0   100%
users/migrations/__init__.py                                       0      0   100%
users/models.py                                                   31      2    94%
users/permissions.py                                              14      1    93%
users/serializers.py                                              10      0   100%
users/tests.py                                                     1      0   100%
users/urls.py                                                      7      0   100%
users/views.py                                                    41      3    93%
----------------------------------------------------------------------------------
TOTAL                                                            496     52    90%
